Date,Total Cases,Active Cases,New Cases,Total Deaths,Total Recovered
"January 24, 2020",0,0,0,0,0
"January 25, 2020",4,4,0,0,0
"January 26, 2020",4,4,0,0,0
"January 27, 2020",4,4,0,0,0
"January 28, 2020",7,7,0,0,0
"January 29, 2020",7,7,0,0,0
"January 30, 2020",8,8,1,0,0
"January 31, 2020",8,8,0,0,0
"February 01, 2020",8,8,0,0,0
"February 02, 2020",8,8,0,0,0
"February 03, 2020",8,8,0,0,0
"February 04, 2020",10,9,2,0,1
"February 05, 2020",12,10,2,0,2
"February 06, 2020",14,13,2,0,1
"February 07, 2020",15,14,1,0,1
"February 08, 2020",16,14,1,0,2
"February 09, 2020",17,14,1,0,3
"February 10, 2020",18,15,1,0,3
"February 11, 2020",18,15,0,0,3
"February 12, 2020",18,15,0,0,3
"February 13, 2020",19,16,1,0,3
"February 14, 2020",19,12,0,0,7
"February 15, 2020",21,14,2,0,7
"February 16, 2020",22,14,1,0,8
"February 17, 2020",22,13,0,0,9
"February 18, 2020",22,11,0,0,11
"February 19, 2020",22,7,0,0,15
"February 20, 2020",22,5,0,0,17
"February 21, 2020",22,5,0,0,17
"February 22, 2020",22,5,0,0,17
"February 23, 2020",22,4,0,0,18
"February 24, 2020",22,2,0,0,20
"February 25, 2020",22,2,0,0,20
"February 26, 2020",22,2,0,0,20
"February 27, 2020",23,1,1,0,22
"February 28, 2020",25,3,2,0,22
"February 29, 2020",25,3,0,0,22
"March 01, 2020",29,7,4,0,22
"March 02, 2020",29,7,0,0,22
"March 03, 2020",36,14,7,0,22
"March 04, 2020",50,28,14,0,22
"March 05, 2020",55,33,5,0,22
"March 06, 2020",83,60,28,0,23
"March 07, 2020",93,70,10,0,23
"March 08, 2020",99,76,6,0,23
"March 09, 2020",117,93,18,0,24
"March 10, 2020",129,105,12,0,24
"March 11, 2020",149,123,20,0,26
"March 12, 2020",158,126,9,0,32
"March 13, 2020",197,164,39,0,33
"March 14, 2020",238,203,41,0,35
"March 15, 2020",428,386,190,0,42
"March 16, 2020",553,511,125,0,42
"March 17, 2020",673,622,120,2,49
"March 18, 2020",790,728,117,2,60
"March 19, 2020",900,823,110,2,75
"March 20, 2020",1030,941,130,2,87
"March 21, 2020",1183,1061,153,8,114
"March 22, 2020",1306,1157,123,10,139
"March 23, 2020",1518,1345,212,14,159
"March 24, 2020",1624,1426,106,15,183
"March 25, 2020",1796,1577,172,20,199
"March 26, 2020",2031,1793,235,23,215
"March 27, 2020",2161,1876,130,26,259
"March 28, 2020",2320,1973,159,27,320
"March 29, 2020",2470,2047,150,35,388
"March 30, 2020",2626,2110,156,37,479
"March 31, 2020",2766,2186,140,43,537
"April 01, 2020",2908,2218,142,45,645
"April 02, 2020",3116,2299,208,50,767
"April 03, 2020",3333,2453,217,53,827
"April 04, 2020",3483,2511,150,57,915
"April 05, 2020",3662,2596,179,61,1005
"April 06, 2020",3793,2490,131,62,1241
"April 07, 2020",3963,2579,170,63,1321
"April 08, 2020",4119,2567,156,65,1487
"April 09, 2020",4228,2553,109,67,1608
"April 10, 2020",4346,2446,118,70,1830
"April 11, 2020",4530,2462,184,73,1995
"April 12, 2020",4683,2499,153,76,2108
"April 13, 2020",4817,2464,134,77,2276
"April 14, 2020",4987,2427,170,82,2478
"April 15, 2020",5072,2342,85,83,2647
"April 16, 2020",5182,2332,110,84,2766
"April 17, 2020",5251,2198,69,86,2967
"April 18, 2020",5305,2115,54,88,3102
"April 19, 2020",5389,2103,84,89,3197
"April 20, 2020",5425,2041,36,89,3295
"April 21, 2020",5482,2041,57,92,3349
"April 22, 2020",5532,1987,50,93,3452
"April 23, 2020",5603,1966,71,95,3542
"April 24, 2020",5691,1932,88,96,3663
"April 25, 2020",5742,1882,51,98,3762
"April 26, 2020",5780,1820,38,98,3862
"April 27, 2020",5820,1764,40,99,3957
"April 28, 2020",5851,1719,31,100,4032
"April 29, 2020",5945,1758,94,100,4087
"April 30, 2020",6002,1729,57,102,4171
"May 01, 2020",6071,1758,69,103,4210
"May 02, 2020",6176,1747,105,103,4326
"May 03, 2020",6298,1780,122,105,4413
"May 04, 2020",6353,1764,55,105,4484
"May 05, 2020",6383,1710,30,106,4567
"May 06, 2020",6428,1619,45,107,4702
"May 07, 2020",6467,1584,39,107,4776
"May 08, 2020",6535,1564,68,107,4864
"May 09, 2020",6589,1552,54,108,4929
"May 10, 2020",6656,1523,67,108,5025
"May 11, 2020",6726,1504,70,109,5113
"May 12, 2020",6742,1410,16,109,5223
"May 13, 2020",6779,1387,37,111,5281
"May 14, 2020",6819,1356,40,112,5351
"May 15, 2020",6855,1304,36,112,5439
"May 16, 2020",6872,1247,17,113,5512
"May 17, 2020",6894,1210,22,113,5571
"May 18, 2020",6941,1213,47,113,5615
"May 19, 2020",6978,1218,37,114,5646
"May 20, 2020",7009,1189,31,114,5706
"May 21, 2020",7059,1149,50,114,5796
"May 22, 2020",7137,1163,78,115,5859
"May 23, 2020",7185,1158,48,115,5912
"May 25, 2020",7417,1323,232,115,5979
"May 26, 2020",7604,1448,187,115,6041
"May 27, 2020",7619,1421,15,115,6083
"May 28, 2020",7629,1345,10,115,6169
"May 29, 2020",7732,1382,103,115,6235
"May 30, 2020",7762,1317,30,115,6330
"May 31, 2020",7819,1351,57,115,6353
"June 01, 2020",7857,1338,38,115,6404
"June 02, 2020",7857,1338,0,115,6404
"June 06, 2020",8303,1551,446,117,6635
"June 07, 2020",8303,1551,0,117,6635
"June 09, 2020",8329,1518,26,117,6694
"June 11, 2020",8369,1186,40,118,7065
"June 17, 2020",8515,521,146,121,7873
